Movie,Year,IMDb,Metascore,Description,Duration,Director,Cast,Genre,Votes,Streaming
Batman Begins,2005,8.2,70,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",140,Christopher Nolan,"['Christian Bale', 'Michael Caine', 'Ken Watanabe', 'Liam Neeson']","
Action, Adventure            ",1287855,https://www.primevideo.com/?ref_=dvm_pds_amz_in_as_s_g_176|m_4mEHKPKZc_c386629063601
V for Vendetta,2005,8.2,62,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.",132,James McTeigue,"['Hugo Weaving', 'Natalie Portman', 'Rupert Graves', 'Stephen Rea']","
Action, Drama, Sci-Fi            ",1016272,https://www.netflix.com/in/title/70039175?source=35
Sin City,2005,8,74,"A movie that explores the dark and miserable town, Basin City, tells the story of three different people, all caught up in violent corruption.",124,"Directors:Frank Miller, Quentin Tarantino, Robert Rodriguez","['Mickey Rourke', 'Clive Owen', 'Bruce Willis', 'Jessica Alba']","
Crime, Thriller            ",734849,https://www.primevideo.com/?ref_=dvm_pds_amz_in_as_s_g_176|m_4mEHKPKZc_c386629063601
Star Wars: Episode III - Revenge of the Sith,2005,7.5,68,"Three years into the Clone Wars, the Jedi rescue Palpatine from Count Dooku. As Obi-Wan pursues a new threat, Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy.",140,George Lucas,"['Hayden Christensen', 'Natalie Portman', 'Ewan McGregor', 'Samuel L. Jackson']","
Action, Adventure, Fantasy            ",698749,https://www.hotstar.com/in/movies/star-wars-revenge-of-the-sith/1660010579/watch?utm_source=gwa
Harry Potter and the Goblet of Fire,2005,7.7,81,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",157,Mike Newell,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Eric Sykes']","
Adventure, Family, Fantasy            ",535661,https://www.primevideo.com/?ref_=dvm_pds_amz_in_as_s_g_176|m_4mEHKPKZc_c386629063601
Mr. & Mrs. Smith,2005,6.5,55,A bored married couple is surprised to learn that they are both assassins hired by competing agencies to kill each other.,120,Doug Liman,"['Brad Pitt', 'Angelina Jolie', 'Adam Brody', 'Vince Vaughn']","
Action, Comedy, Crime            ",444359,https://www.primevideo.com/?ref_=dvm_pds_amz_in_as_s_g_176|m_4mEHKPKZc_c386629063601
Charlie and the Chocolate Factory,2005,6.6,72,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",115,Tim Burton,"['Johnny Depp', 'Freddie Highmore', 'David Kelly', 'Helena Bonham Carter']","
Adventure, Comedy, Family            ",420283,https://www.primevideo.com/?ref_=dvm_pds_amz_in_as_s_g_176|m_4mEHKPKZc_c386629063601
War of the Worlds,2005,6.5,73,"As Earth is invaded by alien tripod fighting machines, one family fights for survival in this sci-fi action film.",116,Steven Spielberg,"['Tom Cruise', 'Dakota Fanning', 'Tim Robbins', 'Miranda Otto']","
Adventure, Sci-Fi, Thriller            ",411005,https://www.netflix.com/in/title/70021644?source=35
The 40-Year-Old Virgin,2005,7.1,73,"Goaded by his buddies, a nerdy guy who's never ""done the deed"" only finds the pressure mounting when he meets a single mother.",116,Judd Apatow,"['Steve Carell', 'Catherine Keener', 'Paul Rudd', 'Romany Malco']","
Comedy, Romance            ",390341,https://www.netflix.com/in/title/70028904?source=35
King Kong,2005,7.2,81,"A greedy film producer assembles a team of moviemakers and sets out for the infamous Skull Island, where they find more than just cannibalistic natives.",187,Peter Jackson,"['Naomi Watts', 'Jack Black', 'Adrien Brody', 'Thomas Kretschmann']","
Action, Adventure, Drama            ",386112,https://www.netflix.com/in/title/70021664?source=35
